Atributo,Importancia
horas_sono,0.24553414396936096
nivel_estresse,0.24380578818102233
nivel_ansiedade,0.22810510824143385
horas_diarias_redes_sociais,0.16881474036553748
desempenho_academico,0.033308015377258436
nivel_vicio,0.01640366691496741
atividade_fisica,0.01618914946112547
tempo_tela_antes_sono,0.01573836824802024
idade,0.013856459488390623
genero,0.006872120343282679
nivel_interacao_social,0.003766895846022121
plataforma_Ambas,0.003397619597733198
plataforma_Instagram,0.0025494702497914504
plataforma_TikTok,0.0016584537160536
